"row.labels","totalprice","area","zone","category","age","floor","rooms","out","conservation","toilets","garage","elevator","streetcategory","heating","tras"
83,379500,109.19999695,"Z42","3A",13,5,5,"E100","1A",2,1,1,"S4","3A",1
84,270000,90.25,"Z62","3A",14,2,5,"E50","1A",2,0,1,"S3","3A",0
85,246500,74.629997253,"Z34","4A",17,5,5,"E100","2A",1,0,1,"S3","3A",1
86,310500,90.449996948,"Z53","3A",6,3,5,"E100","1A",2,0,1,"S2","3A",1
87,218000,59.209999084,"Z46","4A",18,3,5,"E100","1A",1,0,1,"S3","3A",0
88,233000,63.810001373,"Z47","3B",11,8,4,"E75","1A",1,0,1,"S3","4A",1
89,253000,74.129997253,"Z48","4A",13,2,5,"E50","1A",1,0,1,"S3","3A",1
90,327500,106.15000153,"Z56","2A",5,4,5,"E50","1A",2,1,1,"S3","3B",1
91,296000,92.559997559,"Z53","3B",15,2,5,"E100","1A",2,0,1,"S3","3A",1
92,275000,85.970001221,"Z41","5A",15,6,6,"E25","2B",1,0,1,"S4","1A",0
93,275000,104.91999817,"Z11","4A",96,5,4,"E50","1A",1,0,0,"S3","3A",0
94,199000,64.690002441,"Z46","4B",24,5,4,"E100","2A",1,0,0,"S3","3A",1
95,257500,89.290000916,"Z47","3A",11,5,5,"E100","1A",2,0,1,"S3","4A",1
96,2e+05,68.510002136,"Z46","4B",26,5,5,"E100","2B",1,0,0,"S3","3A",0
97,392500,118.68000031,"Z41","3A",15,2,5,"E100","1A",2,1,1,"S4","3A",1
98,232400,66.769996643,"Z47","3B",15,3,5,"E75","1A",1,0,1,"S3","4A",1
99,262000,88.440002441,"Z47","3B",18,5,5,"E100","1A",2,1,1,"S2","3A",1
100,277000,99.849998474,"Z52","3A",8,9,5,"E100","1A",2,0,1,"S2","3A",0
101,270000,93.849998474,"Z53","3A",11,3,5,"E100","1A",2,0,1,"S4","3A",1
102,273500,79.680000305,"Z49","3B",10,5,5,"E50","1A",2,0,1,"S3","4A",1
103,398000,92.209999084,"Z41","3A",10,2,5,"E100","1A",2,1,1,"S4","4A",1
104,258000,81,"Z52","3B",15,8,5,"E100","1A",1,1,1,"S2","4A",1
105,270000,88.709999084,"Z32","4A",34,6,5,"E50","2B",1,0,1,"S5","4A",0
106,340000,102.59999847,"Z36","2B",9,3,4,"E100","1A",2,0,1,"S2","3A",1
107,340000,103.51000214,"Z41","3A",12,5,5,"E100","1A",2,1,1,"S2","3A",1
108,240500,76.580001831,"Z38","3B",23,3,5,"E50","1A",1,0,0,"S3","3A",1
109,273000,74.790000916,"Z45","3B",10,4,4,"E50","1A",1,1,1,"S3","4A",1
110,255000,80.919998169,"Z61","3B",11,8,4,"E50","1A",1,0,1,"S4","3A",1
111,297000,101.69999695,"Z35","4A",52,3,5,"E50","2B",2,0,0,"S4","3A",0
112,276000,86.819999695,"Z53","3A",14,2,5,"E100","1A",2,0,1,"S3","3A",1
113,308000,73.11000061,"Z21","3B",19,5,5,"E100","2A",1,0,1,"S4","3A",1
114,370000,115.33999634,"Z56","2A",6,4,5,"E50","1A",2,1,1,"S3","3B",1
115,204000,77.5,"Z45","4B",15,3,5,"E50","2A",1,0,1,"S3","1A",1
116,478000,134.16999817,"Z21","3B",27,3,5,"E50","1A",2,0,1,"S3","3A",1
117,255000,87.330001831,"Z47","3B",22,3,4,"E100","2B",2,0,1,"S3","4A",1
118,393000,94.339996338,"Z21","3A",10,5,5,"E50","1A",2,0,1,"S3","4A",1
119,326000,97,"Z41","3A",10,4,5,"E100","1A",2,0,1,"S5","3A",1
120,173000,63.590000153,"Z62","4A",30,4,4,"E100","1A",1,0,0,"S3","3A",1
121,225000,76.61000061,"Z32","3B",25,5,5,"E50","1A",1,0,1,"S2","3A",0
122,235000,90.190002441,"Z52","3B",6,7,5,"E100","1A",1,0,1,"S2","3A",0
123,250000,73.040000916,"Z61","4A",39,4,5,"E50","2B",1,0,1,"S3","4A",0
124,376000,103.91999817,"Z31","3B",35,4,5,"E50","1A",2,0,1,"S4","4A",1
125,262500,85.120002747,"Z49","4A",26,3,5,"E50","2B",1,0,1,"S2","3A",1
126,245700,70.709999084,"Z31","3B",20,4,4,"E50","1A",1,0,0,"S5","3A",1
127,247500,73.989997864,"Z36","3B",8,4,4,"E100","1A",1,0,1,"S4","3A",1
128,270000,91.760002136,"Z52","3B",11,5,5,"E100","1A",2,0,1,"S2","4A",1
129,237000,81.940002441,"Z34","3B",13,8,5,"E100","1A",1,0,1,"S2","3A",0
130,378000,104.06999969,"Z42","3A",19,3,5,"E100","1A",2,1,1,"S4","3A",1
131,347000,106.59999847,"Z36","3A",14,7,6,"E100","1A",2,1,1,"S2","3A",1
132,240000,71.050003052,"Z62","3A",14,3,4,"E100","1A",1,1,1,"S3","3A",0
133,457000,142.17999268,"Z42","3A",14,4,6,"E100","2A",2,1,1,"S4","3A",1
134,269000,82.550003052,"Z52","3A",25,12,5,"E100","1A",2,0,1,"S3","3B",1
135,348000,112.47000122,"Z43","3A",26,2,5,"E50","1A",2,1,1,"S4","3B",1
136,391000,90.919998169,"Z41","2B",10,5,5,"E100","1A",2,2,1,"S4","3A",0
137,219500,71.089996338,"Z45","4A",42,5,5,"E50","3A",1,0,1,"S3","3A",1
138,398000,87.440002441,"Z41","3A",11,2,5,"E100","1A",2,1,1,"S4","4A",1
139,254000,78.379997253,"Z32","4A",11,5,5,"E50","1A",1,0,1,"S3","3A",1
140,257500,80.339996338,"Z45","3B",23,6,5,"E50","2B",2,1,1,"S4","3A",1
141,341000,95.839996338,"Z43","3B",27,3,5,"E100","1A",2,1,1,"S4","4A",1
142,373000,106.05000305,"Z21","3A",16,4,5,"E100","1A",2,0,1,"S3","4A",1
143,224000,79.209999084,"Z38","4B",9,3,4,"E100","1A",1,0,1,"S3","3A",1
144,252000,104.76000214,"Z47","3A",24,4,5,"E100","1A",2,0,1,"S3","4A",1
145,253500,71.260002136,"Z37","3B",23,7,5,"E100","1A",1,0,1,"S2","3A",0
146,216000,75.13999939,"Z32","3B",30,5,3,"E50","2B",1,0,0,"S4","3A",1
147,222000,76.540000916,"Z36","4A",19,2,4,"E50","1A",1,0,0,"S4","3A",1
148,356000,130.36999512,"Z44","2B",15,7,6,"E100","1A",2,0,1,"S4","4A",0
149,207000,63.029998779,"Z45","4A",40,6,4,"E50","2A",1,0,1,"S3","3A",1
150,293000,104.52999878,"Z52","3A",10,4,5,"E50","1A",2,0,1,"S3","3A",1
151,210000,80.440002441,"Z46","4B",37,2,5,"E100","2B",1,0,1,"S3","1A",0
152,396000,114.91000366,"Z42","3A",11,7,5,"E50","1A",2,1,1,"S5","3A",1
153,193000,67.269996643,"Z62","4A",14,3,5,"E100","2A",1,0,0,"S3","3A",1
154,303500,91.930000305,"Z61","2B",13,4,5,"E50","1A",2,1,1,"S3","3A",1
155,354600,100.63999939,"Z36","2B",22,6,5,"E100","1A",2,1,1,"S2","3A",1
156,247800,80.940002441,"Z21","3B",11,5,4,"E50","1A",1,0,1,"S3","3A",1
157,287000,90.019996643,"Z41","3A",15,4,5,"E100","1A",2,0,1,"S2","3B",1
158,256000,79.690002441,"Z48","3B",20,2,5,"E50","2A",1,0,1,"S3","3A",1
159,220000,70.559997559,"Z48","4B",11,5,4,"E50","1A",1,0,0,"S3","3A",1
160,252000,67.910003662,"Z32","4B",46,5,4,"E50","2B",1,0,1,"S2","1A",0
161,410000,117.05000305,"Z31","3A",27,4,6,"E100","1A",2,0,1,"S2","4A",1
162,325000,100.5,"Z53","3B",11,10,5,"E100","1A",2,0,1,"S2","3A",1
163,160770,59.380001068,"Z61","4B",52,1,5,"E100","2B",1,0,0,"S3","3A",0
164,268000,83.989997864,"Z53","3A",11,8,5,"E100","1A",2,0,1,"S3","3A",1
165,285000,79.63999939,"Z49","3A",21,2,5,"E100","1A",1,0,1,"S2","4A",1
166,343500,94.370002747,"Z37","3A",18,2,6,"E100","2A",1,0,1,"S2","3A",1
167,295500,76.589996338,"Z43","3B",28,4,4,"E100","2B",1,0,1,"S3","4A",1
168,302500,96.779998779,"Z53","2B",7,5,5,"E75","1A",2,0,1,"S4","3A",1
169,250000,82.510002136,"Z36","3B",21,4,4,"E50","1A",1,0,1,"S4","3A",1
170,294000,86.339996338,"Z53","3B",18,10,5,"E100","1A",2,0,1,"S4","4A",1
171,308000,91.25,"Z62","3A",9,4,5,"E50","1A",2,0,1,"S3","3A",1
172,204000,54.009998322,"Z53","3B",11,7,3,"E100","1A",1,0,1,"S3","3A",0
173,243000,81.650001526,"Z46","3B",16,8,5,"E100","1A",2,0,1,"S3","4A",1
174,231000,77.63999939,"Z62","4A",18,4,5,"E100","2B",1,0,1,"S3","3A",1
175,265000,99.919998169,"Z45","3B",24,2,6,"E50","2B",1,0,1,"S3","4A",1
176,309200,87.430000305,"Z41","2B",14,2,5,"E100","1A",2,0,1,"S2","3A",1
177,280000,87.739997864,"Z52","3A",19,2,5,"E50","1A",2,0,1,"S3","3A",1
178,295000,100.30999756,"Z36","3B",21,3,5,"E50","2B",2,0,1,"S4","4A",1
179,288000,79.300003052,"Z45","4A",13,2,5,"E25","1A",1,0,1,"S3","3A",1
180,222500,69.440002441,"Z47","4A",27,6,5,"E50","1A",1,0,1,"S3","4A",1
181,193000,58.630001068,"Z61","3B",19,4,5,"E50","1A",1,0,0,"S3","3A",1
182,260000,79.199996948,"Z38","3A",10,5,5,"E50","1A",1,0,1,"S3","3A",0
183,262000,100.44000244,"Z52","3A",7,3,5,"E100","1A",2,0,1,"S2","3B",1
184,360000,85.529998779,"Z21","3A",39,3,4,"E100","1A",2,0,1,"S3","3A",0
185,455000,129.24000549,"Z31","2A",13,8,6,"E50","1A",2,0,1,"S4","4A",1
186,433500,113.51000214,"Z41","2B",8,4,5,"E100","1A",2,1,1,"S4","3B",1
187,334500,98.580001831,"Z35","3B",18,3,5,"E50","1A",1,0,1,"S4","3A",1
188,185000,54.580001831,"Z32","3B",13,3,5,"E50","1A",1,0,0,"S5","3A",0
189,262500,94.199996948,"Z61","3B",19,2,5,"E100","1A",1,0,1,"S2","4A",1
190,366000,106.59999847,"Z36","3B",19,2,6,"E100","1A",2,1,1,"S2","3A",1
191,277000,81,"Z52","3B",8,5,5,"E100","1A",2,0,1,"S3","3A",1
192,320000,98.279998779,"Z61","3B",22,5,5,"E100","1A",2,1,1,"S3","3A",1
193,223200,78.870002747,"Z32","4A",13,2,5,"E50","1A",1,0,0,"S3","3A",1
194,260000,77.379997253,"Z35","4A",19,4,5,"E50","1A",1,0,1,"S4","3A",0
195,320000,111.11000061,"Z46","3A",20,7,6,"E50","1A",2,0,1,"S3","4A",1
196,271200,96.959999084,"Z37","4B",20,4,5,"E75","1A",1,0,0,"S2","3A",1
197,271000,50.380001068,"Z21","3A",16,3,3,"E100","1A",1,0,1,"S3","3A",1
198,170500,58.279998779,"Z62","4B",25,1,4,"E100","2B",1,0,0,"S3","3A",1
199,261500,96.330001831,"Z47","4A",17,5,4,"E100","1A",2,1,1,"S3","4A",1
200,231000,70.199996948,"Z52","3B",16,11,5,"E50","1A",1,0,1,"S2","4A",1
201,262500,86.529998779,"Z49","3A",16,4,5,"E100","1A",2,0,1,"S2","3A",1
202,236000,99.519996643,"Z45","4A",26,8,5,"E100","2B",1,0,1,"S3","3A",1
203,155000,71.11000061,"Z11","5A",77,2,5,"E50","2B",1,0,0,"S4","1A",0
204,220000,66.38999939,"Z47","4A",21,6,4,"E100","2B",1,0,1,"S3","3A",1
205,249000,73.510002136,"Z32","4B",20,4,4,"E50","1A",1,0,0,"S4","3A",1
206,183000,100.70999908,"Z11","5A",93,4,4,"E100","3A",1,0,0,"S4","1A",0
207,285000,97.160003662,"Z41","3A",13,2,5,"E100","1A",2,1,1,"S2","3A",1
208,228000,82.400001526,"Z34","4A",21,3,5,"E100","1A",1,0,1,"S3","3A",1
209,220000,83.11000061,"Z34","4A",17,8,5,"E100","2A",1,0,1,"S2","3A",0
210,215000,79.680000305,"Z49","3B",13,5,4,"E50","1A",1,0,0,"S3","3A",0
211,210000,56.509998322,"Z53","3A",18,3,4,"E100","1A",1,0,1,"S4","4A",1
212,187000,62.040000916,"Z62","3B",13,4,4,"E100","1A",1,0,0,"S3","3A",1
213,225000,69.75,"Z46","3B",1,6,5,"E50","2A",1,0,1,"S3","3A",1
214,215000,72.900001526,"Z45","3B",18,3,4,"E100","2A",1,0,0,"S3","3A",1
215,340000,95.61000061,"Z56","2B",8,6,5,"E50","1A",2,1,1,"S3","3A",1
216,280000,83.220001221,"Z34","3B",29,7,5,"E50","2B",1,1,1,"S3","4A",1
217,224000,79.209999084,"Z38","4A",6,3,4,"E100","1A",1,0,1,"S3","3A",1
218,237000,81.38999939,"Z61","4B",20,2,4,"E100","2B",1,0,1,"S4","4A",1
